snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation
Lichen nitidus (disorder),41890004,726476005,Lichen planus co-occurrent with onycholysis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 19940005|Lichenification (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 70831001|Papular rash (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 418363000|Itching of skin (finding)|})&limit=7000",57
Bacterial vaginosis (disorder),419760006,110081000119109,Bacterial vaginosis in pregnancy (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<76784001|Vaginal structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 409822003|Domain Bacteria (organism)|})&limit=7000",2
Allergy to nickel (finding),419788000,419788000,Allergy to nickel (finding),"(*):  ([1..1]{719722006|Has realization (attribute)| = 472964009|Allergic process (qualifier value)|,246075003|Causative agent (attribute)| = 33396006|Nickel (substance)|})&limit=7000",1
Watery eye (finding),420103007,420103007,Watery eye (finding),(*):  ([1..1]{363698007|Finding site (attribute)| = <<314802006|Structure of lacrimal apparatus (body structure)|} AND [1..1]{363714003|Interprets (attribute)| = 417323003|Lacrimal drainage system observable (observable entity)|})&limit=7000,8
Allergy to wheat (finding),420174000,420174000,Allergy to wheat (finding),"(*):  ([1..1]{719722006|Has realization (attribute)| = 472964009|Allergic process (qualifier value)|,246075003|Causative agent (attribute)| = 412071004|Wheat (substance)|})&limit=7000",1
Ketoacidosis in diabetes mellitus (disorder),420422005,420422005,Ketoacidosis due to diabetes mellitus (disorder),"(*):  ([1..1]{42752001|Due to (attribute)| = 73211009|Diabetes mellitus (disorder)|} AND [1..1]{363714003|Interprets (attribute)| = 33747003|Glucose measurement, blood (procedure)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 401156005|Plasma osmolality (observable entity)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 81065003|pH measurement (procedure)|,363713009|Has interpretation (attribute)| = <<281300000|Below reference range (qualifier value)|})&limit=7000",3
Retinal detachment (disorder),42059000,15997671000119100,Central serous choroidopathy of left eye (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<5665001|Retinal structure (body structure)|,116676008|Associated morphology (attribute)| = 16640008|Separation (morphologic abnormality)|})&limit=7000",87
Hurthle cell carcinoma of thyroid (disorder),423158009,423158009,Hurthle cell carcinoma of thyroid (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<69748006|Thyroid structure (body structure)|,116676008|Associated morphology (attribute)| = 57596004|Oxyphilic adenocarcinoma (morphologic abnormality)|})&limit=7000",1
Endoscopy (procedure),423827005,870570006,Transnasal esophagoscopy (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129433002|Inspection - action (qualifier value)|,424226004|Using device (attribute)| = 37270008|Endoscope, device (physical object)|})&limit=7000",157
Listeriosis (disorder),4241002,721657003,Food poisoning caused by Listeria monocytogenes (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 36094007|Listeria monocytogenes (organism)|})&limit=7000",16
Nephrogenic systemic fibrosis (disorder),424114000,424114000,Nephrogenic systemic fibrosis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 112674009|Fibrosis (morphologic abnormality)|} AND [1..1]{47429007|Associated with (attribute)| = 90708001|Kidney disease (disorder)|})&limit=7000",1
Chemical burn (disorder),426284001,12115801000119101,Chemical burn of right upper arm (disorder),(*):  ([1..1]{116676008|Associated morphology (attribute)| = 26696002|Chemical burn (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 274926008|Burning caused by caustic and corrosive substance (event)|})&limit=7000,51
Streptococcus agalactiae infection (disorder),426933007,16916631000119104,Urinary tract infection caused by Streptococcus agalactiae (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 43492007|Streptococcus agalactiae (organism)|})&limit=7000",14
Aphthous ulcer of mouth (disorder),426965005,722781002,Recurrent aphthous stomatitis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<113277000|Oral mucous membrane structure (body structure)|,116676008|Associated morphology (attribute)| = 110426005|Aphtha (morphologic abnormality)|})&limit=7000",9
Nontraumatic exertional compartment syndrome (disorder),427458001,427458001,Nontraumatic exertional compartment syndrome (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<118509002|Structure of fascial compartment (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|,246075003|Causative agent (attribute)| = 285665007|Increase in pressure (physical force)|} AND [1..1]{42752001|Due to (attribute)| = 419912001|Overexertion (event)|})&limit=7000",1
Malignant neoplasm of bone (disorder),428281000,712525007,Malignant neoplasm of short bone of lower limb (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<272673000|Bone structure (body structure)|,116676008|Associated morphology (attribute)| = 367651003|Malignant neoplasm of primary, secondary, or uncertain origin (morphologic abnormality)|})&limit=7000",60
Rupture of Achilles tendon (disorder),429513001,11857701000119100,Rupture of left Achilles tendon (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<61352006|Structure of Achilles tendon (body structure)|,116676008|Associated morphology (attribute)| = 125671007|Rupture (morphologic abnormality)|})&limit=7000",7
Vascular dementia (disorder),429998004,16276361000119109,Vascular dementia without behavioral disturbance (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 311465003|Cognitive functions (observable entity)|,363713009|Has interpretation (attribute)| = 260379002|Impaired (qualifier value)|} AND [1..1]{42752001|Due to (attribute)| = 62914000|Cerebrovascular disease (disorder)|} AND [1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|})&limit=7000",20
Hydronephrosis (disorder),43064006,367611000119100,Hydronephrosis co-occurrent and due to ureteral stricture (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<279371005|Renal collecting system structure (body structure)|,116676008|Associated morphology (attribute)| = 25322007|Dilatation (morphologic abnormality)|})&limit=7000",30
Eczema (disorder),43116000,16228891000119105,Allergic contact dermatitis caused by metal (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",625
Otitis (disorder),43275000,10674911000119108,Otitis media caused by Influenza A virus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<117590005|Ear structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",62
Aneurysm of thoracic aorta (disorder),433068007,2831000119107,Aneurysm of descending thoracic aorta (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<113262008|Thoracic aorta structure (body structure)|,116676008|Associated morphology (attribute)| = 85659009|Aneurysm (morphologic abnormality)|})&limit=7000",20
Injury of posterior cruciate ligament (disorder),433162006,443943005,Acute injury of posterior cruciate ligament (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<16219000|Structure of posterior cruciate ligament of knee joint (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|})&limit=7000",2
Mittelschmerz (finding),43548008,427547007,Female infertility due to diminished ovarian reserve (disorder),(*):  ([1..1]{363698007|Finding site (attribute)| = <<15497006|Ovarian structure (body structure)|} AND [1..1]{363714003|Interprets (attribute)| = 66523006|Female reproductive function (observable entity)|})&limit=7000,10
Streptococcal sore throat (disorder),43878008,43878008,Streptococcal sore throat (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<54066008|Pharyngeal structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 58800005|Genus Streptococcus (organism)|})&limit=7000",2
Arteriovenous fistula (disorder),439470001,12245491000119103,Thrombosis of surgically created arteriovenous fistula (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<59820001|Blood vessel structure (body structure)|,116676008|Associated morphology (attribute)| = 128617001|Arteriovenous fistula (morphologic abnormality)|})&limit=7000",34
Binge eating disorder (disorder),439960005,16230791000119104,Sensory aversion to particular foods (finding),(*):  ([1..1]{363714003|Interprets (attribute)| = 364645004|Eating feeding / drinking observable (observable entity)|} AND [1..1]{363714003|Interprets (attribute)| = 228272008|Health-related behavior (observable entity)|})&limit=7000,106
Premature ejaculation (finding),44001008,446551005,Able to get an erection when alone (finding),(*):  ([1..1]{363698007|Finding site (attribute)| = <<90264002|Male genital structure (body structure)|} AND [1..1]{363714003|Interprets (attribute)| = 246464006|Function (observable entity)|})&limit=7000,36
Loss of sense of smell (finding),44169009,771147003,Isolated arhinencephaly (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 397686008|Sense of smell, function (observable entity)|,363713009|Has interpretation (attribute)| = 2667000|Absent (qualifier value)|})&limit=7000",6
Abscess of brain (disorder),441806004,1086991000119103,Gonococcal abscess of brain (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|,116676008|Associated morphology (attribute)| = 44132006|Abscess (morphologic abnormality)|})&limit=7000",20
Influenza caused by Influenza A virus subtype H1N1 (disorder),442696006,142941000119109,Upper respiratory tract infection caused by H1N1 influenza (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<20139000|Structure of respiratory system (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 442352004|Influenza A virus subtype H1N1 (organism)|})&limit=7000",3
Medulloblastoma (disorder),443333004,443333004,Medulloblastoma (disorder),(*):  ([1..1]{116676008|Associated morphology (attribute)| = 443334005|Medulloblastoma - category (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|})&limit=7000,2
Injury while engaged in sports activity (disorder),443786003,443786003,Injury while engaged in sports activity (disorder),(*):  ([1..1]{116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 418019003|Accidental event (event)|})&limit=7000,8
History of schizophrenia in child of subject (situation),444180005,444180005,History of schizophrenia in child of subject (situation),"(*):  ([1..1]{246090004|Associated finding (attribute)| = 58214004|Schizophrenia (disorder)|,408729009|Finding context (attribute)| = 410515003|Known present (qualifier value)|,408732007|Subject relationship context (attribute)| = 444192005|Child of subject (person)|,408731000|Temporal context (attribute)| = 410511007|Current or past (actual) (qualifier value)|})&limit=7000",1
